product_id,current_inventory,reorder_level,reorder_quantity
1,79,49,51
2,58,28,78
3,113,28,87
4,169,43,52
5,101,24,65
6,138,36,79
7,191,28,89
8,102,36,51
9,127,43,66
10,90,40,90
11,117,38,61
12,57,46,84
13,51,26,92
14,154,42,50
15,174,28,94
16,159,26,64
17,135,32,75
18,169,30,86
19,176,33,70
20,65,38,98
21,111,30,80
22,162,32,74
23,61,33,72
24,84,32,73
25,60,20,87
26,113,27,77
27,99,31,70
28,198,38,92
29,118,31,67
30,97,27,85
31,69,27,84
32,150,48,94
33,186,40,58
34,117,32,87
35,84,31,79
36,114,48,93
37,57,35,83
38,94,20,81
39,136,32,52
40,125,45,52
41,125,26,77
42,96,47,93
43,64,45,64
44,154,24,90
45,196,27,72
46,75,44,89
47,101,46,60
48,142,33,97
49,199,42,81
50,70,49,85
51,100,32,82
52,87,34,73
53,69,42,88
54,181,36,83
55,104,34,77
56,141,39,86
57,77,37,56
58,53,37,53
59,199,21,86
60,125,23,50
61,116,49,50
62,135,20,96
63,140,23,69
64,154,37,68
65,50,24,78
66,121,38,59
67,136,34,67
68,55,47,77
69,194,27,84
70,110,39,92
71,61,36,96
72,55,20,80
73,76,31,76
74,185,45,60
75,173,38,98
76,155,34,98
77,142,28,87
78,158,26,54
79,148,21,57
80,191,48,83
81,84,28,97
82,133,29,61
83,105,21,87
84,190,38,50
85,98,30,80
86,95,32,53
87,162,29,98
88,185,33,94
89,92,37,99
90,197,38,54
91,173,41,79
92,146,28,73
93,139,44,52
94,88,26,60
95,134,47,94
96,111,22,53
97,155,39,75
98,156,25,76
99,103,46,95
