product_id,quantity_sold,sales_region,sale_date
52,2,North America,2021-01-01 00:00:00.000000000
93,8,Asia,2021-01-02 02:16:56.216216216
15,6,Asia,2021-01-03 04:33:52.432432432
72,5,Asia,2021-01-04 06:50:48.648648648
61,9,North America,2021-01-05 09:07:44.864864864
21,1,Europe,2021-01-06 11:24:41.081081081
83,5,North America,2021-01-07 13:41:37.297297297
87,6,Europe,2021-01-08 15:58:33.513513513
75,5,Europe,2021-01-09 18:15:29.729729729
75,6,Asia,2021-01-10 20:32:25.945945946
88,6,Europe,2021-01-11 22:49:22.162162162
24,7,North America,2021-01-13 01:06:18.378378378
3,4,North America,2021-01-14 03:23:14.594594594
22,8,Europe,2021-01-15 05:40:10.810810810
53,7,Asia,2021-01-16 07:57:07.027027027
2,9,Asia,2021-01-17 10:14:03.243243243
88,7,North America,2021-01-18 12:30:59.459459459
30,3,Asia,2021-01-19 14:47:55.675675675
38,3,Europe,2021-01-20 17:04:51.891891892
2,8,Europe,2021-01-21 19:21:48.108108108
64,5,North America,2021-01-22 21:38:44.324324324
60,4,Europe,2021-01-23 23:55:40.540540540
21,8,North America,2021-01-25 02:12:36.756756756
33,6,Europe,2021-01-26 04:29:32.972972973
76,2,North America,2021-01-27 06:46:29.189189189
58,4,Asia,2021-01-28 09:03:25.405405405
22,4,Europe,2021-01-29 11:20:21.621621621
89,6,Europe,2021-01-30 13:37:17.837837838
49,6,North America,2021-01-31 15:54:14.054054054
91,1,North America,2021-02-01 18:11:10.270270270
59,8,Europe,2021-02-02 20:28:06.486486486
42,6,North America,2021-02-03 22:45:02.702702703
92,3,Europe,2021-02-05 01:01:58.918918919
60,9,Asia,2021-02-06 03:18:55.135135135
80,2,North America,2021-02-07 05:35:51.351351351
15,8,Europe,2021-02-08 07:52:47.567567567
62,3,Asia,2021-02-09 10:09:43.783783784
62,5,Asia,2021-02-10 12:26:40.000000000
47,6,Europe,2021-02-11 14:43:36.216216216
62,6,North America,2021-02-12 17:00:32.432432432
51,4,Europe,2021-02-13 19:17:28.648648649
55,3,Asia,2021-02-14 21:34:24.864864865
64,4,Europe,2021-02-15 23:51:21.081081081
3,1,North America,2021-02-17 02:08:17.297297297
51,4,Asia,2021-02-18 04:25:13.513513513
7,1,Europe,2021-02-19 06:42:09.729729730
21,1,North America,2021-02-20 08:59:05.945945946
73,6,Asia,2021-02-21 11:16:02.162162162
39,5,North America,2021-02-22 13:32:58.378378378
18,4,Asia,2021-02-23 15:49:54.594594595
4,3,Europe,2021-02-24 18:06:50.810810811
89,1,North America,2021-02-25 20:23:47.027027027
60,6,Asia,2021-02-26 22:40:43.243243243
14,2,North America,2021-02-28 00:57:39.459459460
9,8,North America,2021-03-01 03:14:35.675675676
90,5,Europe,2021-03-02 05:31:31.891891892
53,7,North America,2021-03-03 07:48:28.108108108
2,2,Asia,2021-03-04 10:05:24.324324324
84,8,Asia,2021-03-05 12:22:20.540540541
92,2,Asia,2021-03-06 14:39:16.756756757
60,4,Asia,2021-03-07 16:56:12.972972973
71,1,Europe,2021-03-08 19:13:09.189189189
44,5,North America,2021-03-09 21:30:05.405405406
8,9,Europe,2021-03-10 23:47:01.621621622
47,1,North America,2021-03-12 02:03:57.837837838
35,9,North America,2021-03-13 04:20:54.054054054
78,8,North America,2021-03-14 06:37:50.270270270
81,6,Europe,2021-03-15 08:54:46.486486487
36,7,North America,2021-03-16 11:11:42.702702703
50,3,Europe,2021-03-17 13:28:38.918918919
4,1,Asia,2021-03-18 15:45:35.135135135
2,5,Asia,2021-03-19 18:02:31.351351352
6,2,North America,2021-03-20 20:19:27.567567568
54,5,Europe,2021-03-21 22:36:23.783783784
4,8,Asia,2021-03-23 00:53:20.000000000
54,9,Europe,2021-03-24 03:10:16.216216216
93,2,Europe,2021-03-25 05:27:12.432432433
63,3,North America,2021-03-26 07:44:08.648648649
18,3,Asia,2021-03-27 10:01:04.864864865
90,1,North America,2021-03-28 12:18:01.081081081
44,8,North America,2021-03-29 14:34:57.297297298
34,6,Asia,2021-03-30 16:51:53.513513514
74,8,Asia,2021-03-31 19:08:49.729729730
62,9,Europe,2021-04-01 21:25:45.945945946
